"code_product","year_month_full","amount"
"AC1163T",2016-11-01,5.87
"AC3105B",2016-11-01,6.27
"AC3106B",2016-11-01,25.08
"CA1159A",2016-11-01,66.9
"CA1160A",2016-11-01,11.15
"CA1165A",2016-11-01,35.43
"CA1201A",2016-11-01,19.58
"CA1202A",2016-11-01,42.94
"CA1301A",2016-11-01,45.28
"CA1302A",2016-11-01,24.23
"AC3106B",2016-12-01,12.54
"CA1159A",2016-12-01,33.45
"CA1165A",2016-12-01,35.43
"CA1302A",2016-12-01,72.69
"AC1201B",2017-01-01,5.86
"AC3104B",2017-01-01,13.72
"AC3105B",2017-01-01,6.27
"AC3106B",2017-01-01,43.89
"AC3193B",2017-01-01,9.18
"BT4001G",2017-01-01,42.48
"CA1148V",2017-01-01,12.78
"CA1159A",2017-01-01,44.6
"CA1160A",2017-01-01,11.15
"CA1201A",2017-01-01,19.58
"CA1301A",2017-01-01,67.92
"CA1302A",2017-01-01,48.46
"CA1303A",2017-01-01,85.08
"AC1201B",2017-02-01,2.75
"AC3104B",2017-02-01,12.88
"AC3105B",2017-02-01,6.27
"AC3106B",2017-02-01,24.34
"AC3193B",2017-02-01,17.8
"CA1148V",2017-02-01,51.12
"CA1159A",2017-02-01,33.45
"CA1160A",2017-02-01,11.15
"CA1163B",2017-02-01,10.46
"CA1201A",2017-02-01,19.58
"CA1302A",2017-02-01,72.69
"CA1303A",2017-02-01,26.64
"AC1201B",2017-03-01,11.72
"AC1203B",2017-03-01,2.93
"AC1204B",2017-03-01,0
"AC3105B",2017-03-01,6.27
"AC3106B",2017-03-01,43.34
"AC3192B",2017-03-01,9.18
"AC3193B",2017-03-01,9.18
"CA1148V",2017-03-01,38.34
"CA1159A",2017-03-01,77.06
"CA1160A",2017-03-01,11.15
"CA1163B",2017-03-01,22.3
"CA1165A",2017-03-01,22.58
"CA1166V",2017-03-01,11.81
"CA1167V",2017-03-01,19.25
"CA1302A",2017-03-01,167.46
"CA1303A",2017-03-01,28.36
"PP2217B",2017-03-01,5.87
"PP2218B",2017-03-01,5.87
"PP2224B",2017-03-01,5.87
"AC1163T",2017-04-01,5.87
"AC1201B",2017-04-01,2.93
"AC1203B",2017-04-01,6.1
"AC3106B",2017-04-01,25.57
