"year_month_full","code_product","Ranking","Ranking_inv"
2021-01-01,"AC1160T",26,35
2021-01-01,"AC1161T",30,31
2021-01-01,"AC1163T",17,44
2021-01-01,"AC1201B",22,39
2021-01-01,"AC1202B",32,29
2021-01-01,"AC1203B",33,28
2021-01-01,"AC1204B",36,25
2021-01-01,"AC3104B",14,47
2021-01-01,"AC3105B",35,26
2021-01-01,"AC3106B",38,23
2021-01-01,"AC3107B",40,21
2021-01-01,"AC3191B",41,20
2021-01-01,"AC3192B",13,48
2021-01-01,"AC3193B",9,52
2021-01-01,"ACCS009",59,2
2021-01-01,"AR00004",56,5
2021-01-01,"AR00067",39,22
2021-01-01,"AR00068",47,14
2021-01-01,"AR00069",50,11
2021-01-01,"ART0082",49,12
2021-01-01,"BOXDT",23,38
2021-01-01,"BOXESC",51,10
2021-01-01,"BOXH",42,19
2021-01-01,"BOXHAR",48,13
2021-01-01,"BOXSER",46,15
2021-01-01,"BOXV",45,16
2021-01-01,"BOXVIT",44,17
2021-01-01,"BOXVP",31,30
2021-01-01,"BT4001G",34,27
2021-01-01,"CA1147",27,34
2021-01-01,"CA1148V",11,50
2021-01-01,"CA1159A",1,60
2021-01-01,"CA1160A",6,55
2021-01-01,"CA1161V",16,45
2021-01-01,"CA1162V",21,40
2021-01-01,"CA1163B",19,42
2021-01-01,"CA1165A",8,53
2021-01-01,"CA1166V",18,43
2021-01-01,"CA1167V",12,49
2021-01-01,"CA1201A",7,54
2021-01-01,"CA1202A",5,56
2021-01-01,"CA1301A",3,58
2021-01-01,"CA1302A",2,59
2021-01-01,"CA1303A",4,57
2021-01-01,"CERCHOC",10,51
2021-01-01,"CERFRUI",15,46
2021-01-01,"CERNATU",20,41
2021-01-01,"GLPSO",53,8
2021-01-01,"GOOM002",55,6
2021-01-01,"GOOM003",54,7
2021-01-01,"GOOM005",52,9
2021-01-01,"GOOM006",58,3
2021-01-01,"LIVREC",57,4
2021-01-01,"NEW1",43,18
2021-01-01,"PP2216",37,24
2021-01-01,"PP2217B",25,36
2021-01-01,"PP2218B",29,32
2021-01-01,"PP2224B",28,33
2021-01-01,"PP2272B",24,37
2021-02-01,"AC1160T",25,36
2021-02-01,"AC1161T",30,31
2021-02-01,"AC1163T",18,43
2021-02-01,"AC1201B",20,41
2021-02-01,"AC1202B",34,27
2021-02-01,"AC1203B",33,28
2021-02-01,"AC1204B",36,25
2021-02-01,"AC3104B",14,47
2021-02-01,"AC3105B",31,30
2021-02-01,"AC3106B",41,20
2021-02-01,"AC3107B",35,26
2021-02-01,"AC3191B",39,22
2021-02-01,"AC3192B",13,48
2021-02-01,"AC3193B",9,52
2021-02-01,"ACCS009",55,6
2021-02-01,"AR00067",40,21
2021-02-01,"AR00068",45,16
2021-02-01,"AR00069",47,14
2021-02-01,"ART0082",49,12
2021-02-01,"BOXDT",38,23
2021-02-01,"BOXESR",53,8
2021-02-01,"BOXH",43,18
2021-02-01,"BOXHAR",51,10
2021-02-01,"BOXSER",48,13
2021-02-01,"BOXSIL",44,17
2021-02-01,"BOXV",46,15
2021-02-01,"BOXVP",29,32
2021-02-01,"BT4001G",28,33
2021-02-01,"CA1147",26,35
2021-02-01,"CA1148V",11,50
2021-02-01,"CA1159A",1,60
2021-02-01,"CA1160A",7,54
2021-02-01,"CA1161V",17,44
2021-02-01,"CA1162V",21,40
2021-02-01,"CA1163B",19,42
2021-02-01,"CA1165A",8,53
2021-02-01,"CA1166V",15,46
2021-02-01,"CA1167V",12,49
2021-02-01,"CA1201A",6,55
2021-02-01,"CA1202A",5,56
2021-02-01,"CA1301A",3,58
2021-02-01,"CA1302A",2,59
2021-02-01,"CA1303A",4,57
2021-02-01,"CERCHOC",10,51
2021-02-01,"CERFRUI",16,45
2021-02-01,"CERNATU",22,39
2021-02-01,"GLPSO",52,9
2021-02-01,"GOOM002",56,5
2021-02-01,"GOOM003",54,7
2021-02-01,"GOOM005",50,11
2021-02-01,"GOOS001",58,3
2021-02-01,"LIVREC",57,4
2021-02-01,"NEW1",42,19
2021-02-01,"PP2216",37,24
2021-02-01,"PP2217B",23,38
2021-02-01,"PP2218B",27,34
2021-02-01,"PP2224B",32,29
2021-02-01,"PP2272B",24,37
2021-03-01,"AC1160T",25,36
2021-03-01,"AC1161T",28,33
2021-03-01,"AC1163T",17,44
2021-03-01,"AC1201B",20,41
2021-03-01,"AC1202B",33,28
2021-03-01,"AC1203B",35,26
2021-03-01,"AC1204B",36,25
2021-03-01,"AC3104B",14,47
2021-03-01,"AC3105B",27,34
2021-03-01,"AC3106B",37,24
2021-03-01,"AC3107B",38,23
2021-03-01,"AC3191B",41,20
2021-03-01,"AC3192B",13,48
2021-03-01,"AC3193B",9,52
2021-03-01,"ACCS009",59,2
2021-03-01,"AR00067",39,22
2021-03-01,"AR00068",51,10
2021-03-01,"AR00069",50,11
2021-03-01,"ART0082",47,14
2021-03-01,"BOXDIG",46,15
2021-03-01,"BOXDT",34,27
2021-03-01,"BOXESR",54,7
2021-03-01,"BOXH",44,17
2021-03-01,"BOXHAR",48,13
2021-03-01,"BOXSER",49,12
2021-03-01,"BOXSIL",43,18
2021-03-01,"BOXV",52,9
2021-03-01,"BOXVIT",53,8
2021-03-01,"BOXVP",32,29
2021-03-01,"BT4001G",30,31
2021-03-01,"CA1147",26,35
2021-03-01,"CA1148V",11,50
2021-03-01,"CA1159A",1,60
2021-03-01,"CA1160A",7,54
2021-03-01,"CA1161V",18,43
2021-03-01,"CA1162V",22,39
2021-03-01,"CA1163B",19,42
2021-03-01,"CA1165A",8,53
2021-03-01,"CA1166V",15,46
2021-03-01,"CA1167V",12,49
2021-03-01,"CA1201A",6,55
2021-03-01,"CA1202A",5,56
2021-03-01,"CA1301A",3,58
2021-03-01,"CA1302A",2,59
2021-03-01,"CA1303A",4,57
2021-03-01,"CERCHOC",10,51
2021-03-01,"CERFRUI",16,45
2021-03-01,"CERNATU",21,40
2021-03-01,"GLPSO",55,6
2021-03-01,"GOOM002",56,5
2021-03-01,"GOOM003",57,4
2021-03-01,"GOOM005",45,16
2021-03-01,"GOOS001",60,1
2021-03-01,"LIVREC",58,3
2021-03-01,"NEW1",42,19
2021-03-01,"PP2216",40,21
2021-03-01,"PP2217B",24,37
2021-03-01,"PP2218B",29,32
2021-03-01,"PP2224B",31,30
2021-03-01,"PP2272B",23,38
2021-04-01,"AC1160T",25,36
2021-04-01,"AC1161T",29,32
2021-04-01,"AC1163T",18,43
2021-04-01,"AC1201B",20,41
2021-04-01,"AC1202B",32,29
2021-04-01,"AC1203B",34,27
2021-04-01,"AC1204B",35,26
2021-04-01,"AC3104B",14,47
2021-04-01,"AC3105B",27,34
2021-04-01,"AC3106B",39,22
2021-04-01,"AC3107B",38,23
2021-04-01,"AC3191B",37,24
2021-04-01,"AC3192B",13,48
2021-04-01,"AC3193B",9,52
2021-04-01,"ACCS009",52,9
2021-04-01,"AR00067",40,21
2021-04-01,"AR00068",46,15
2021-04-01,"AR00069",49,12
2021-04-01,"ART0082",48,13
2021-04-01,"BOXDT",36,25
2021-04-01,"BOXESR",56,5
2021-04-01,"BOXH",42,19
2021-04-01,"BOXHAR",55,6
2021-04-01,"BOXSER",45,16
2021-04-01,"BOXSIL",47,14
2021-04-01,"BOXVIT",50,11
2021-04-01,"BOXVP",33,28
2021-04-01,"BT4001G",26,35
2021-04-01,"CA1147",28,33
2021-04-01,"CA1148V",11,50
2021-04-01,"CA1159A",2,59
2021-04-01,"CA1160A",7,54
2021-04-01,"CA1161V",17,44
2021-04-01,"CA1162V",19,42
2021-04-01,"CA1163B",21,40
2021-04-01,"CA1165A",8,53
2021-04-01,"CA1166V",16,45
2021-04-01,"CA1167V",12,49
2021-04-01,"CA1201A",6,55
2021-04-01,"CA1202A",5,56
2021-04-01,"CA1301A",3,58
2021-04-01,"CA1302A",1,60
2021-04-01,"CA1303A",4,57
2021-04-01,"CERCHOC",10,51
2021-04-01,"CERFRUI",15,46
2021-04-01,"CERNATU",22,39
2021-04-01,"GLPSO",51,10
2021-04-01,"GOOM002",53,8
2021-04-01,"GOOM003",54,7
2021-04-01,"GOOM005",43,18
2021-04-01,"NEW1",44,17
