"code_product","year_month_full","margin"
"CA1160A",2016-11-01,5.96875
"CA1165A",2016-11-01,19.14375
"CA1201A",2016-11-01,10.4415
"CA1202A",2016-11-01,23.3795
"CA1301A",2016-11-01,23.282
"CA1302A",2016-11-01,12.69275
"CA1165A",2016-12-01,19.14375
"CA1302A",2016-12-01,38.07825
"AC1201B",2017-01-01,2.1225
"AC3104B",2017-01-01,5.175
"AC3193B",2017-01-01,3.2175
"BT4001G",2017-01-01,19.41
"CA1148V",2017-01-01,6.9875
"CA1160A",2017-01-01,5.96875
"CA1201A",2017-01-01,10.4415
"CA1301A",2017-01-01,34.923
"CA1302A",2017-01-01,25.3855
"CA1303A",2017-01-01,43.494
"AC1201B",2017-02-01,0.94875
"AC3104B",2017-02-01,4.65
"AC3193B",2017-02-01,6.085
"CA1148V",2017-02-01,27.95
"CA1160A",2017-02-01,5.96875
"CA1163B",2017-02-01,4.8075
"CA1201A",2017-02-01,10.4415
"CA1302A",2017-02-01,38.07825
"CA1303A",2017-02-01,13.423
"AC1201B",2017-03-01,4.245
"AC1203B",2017-03-01,1.06125
"AC1204B",2017-03-01,-0.71
"AC3192B",2017-03-01,3.2175
"AC3193B",2017-03-01,3.2175
"CA1148V",2017-03-01,20.9625
"CA1160A",2017-03-01,5.96875
"CA1163B",2017-03-01,10.4775
"CA1165A",2017-03-01,12.1125
"CA1166V",2017-03-01,5.84125
"CA1167V",2017-03-01,10.75125
"CA1302A",2017-03-01,87.5055
"CA1303A",2017-03-01,14.498
"PP2217B",2017-03-01,1.97875
"PP2218B",2017-03-01,2.07875
"PP2224B",2017-03-01,2.02875
"AC1201B",2017-04-01,1.06125
"AC1203B",2017-04-01,2.2725
"AC3192B",2017-04-01,3.2175
"AC3193B",2017-04-01,6.435
"CA1148V",2017-04-01,27.95
"CA1163B",2017-04-01,5.23875
"CA1165A",2017-04-01,19.14375
"CA1302A",2017-04-01,77.3315
"PP2217B",2017-04-01,1.97875
"AC1203B",2017-05-01,2.1225
"AC3192B",2017-05-01,3.2175
"AC3193B",2017-05-01,3.2175
"CA1148V",2017-05-01,41.925
"CA1160A",2017-05-01,29.88125
"CA1163B",2017-05-01,5.23875
"CA1165A",2017-05-01,6.38125
"CA1166V",2017-05-01,5.84125
"CA1202A",2017-05-01,11.68975
"CA1301A",2017-05-01,58.23625
"CA1302A",2017-05-01,101.542
"AC1160T",2017-06-01,3.2525
"AC1201B",2017-06-01,3.5
"AC1203B",2017-06-01,1.06125
"AC1204B",2017-06-01,-0.71
"AC3192B",2017-06-01,6.435
"AC3193B",2017-06-01,19.32375
"BT4001G",2017-06-01,9.71125
"CA1148V",2017-06-01,76.925
"CA1160A",2017-06-01,17.9625
"CA1162V",2017-06-01,5.46625
"CA1165A",2017-06-01,38.3875
"CA1166V",2017-06-01,11.6825
"CA1201A",2017-06-01,20.933
"CA1202A",2017-06-01,35.06925
"CA1301A",2017-06-01,93.1405
"CA1302A",2017-06-01,203.284
"CA1303A",2017-06-01,14.51675
"PP2217B",2017-06-01,1.97875
"PP2224B",2017-06-01,4.0575
"AC1160T",2017-07-01,6.505
"AC1201B",2017-07-01,2.135
"AC3104B",2017-07-01,5.175
"AC3192B",2017-07-01,3.2175
"AC3193B",2017-07-01,16.09375
"CA1148V",2017-07-01,125.825
"CA1160A",2017-07-01,59.81875
"CA1163B",2017-07-01,10.4775
"CA1165A",2017-07-01,12.8125
"CA1166V",2017-07-01,5.84125
"CA1201A",2017-07-01,31.3745
"CA1202A",2017-07-01,81.1595
"CA1301A",2017-07-01,54.24875
"CA1302A",2017-07-01,341.15425
"CA1303A",2017-07-01,129.7445
"PP2272B",2017-07-01,2.02875
"AC1160T",2017-08-01,3.2525
"AC1201B",2017-08-01,4.5675
"AC1202B",2017-08-01,1.0675
"AC1203B",2017-08-01,2.12875
"AC3192B",2017-08-01,-2.52
"AC3193B",2017-08-01,21.70375
"CA1148V",2017-08-01,27.95
"CA1160A",2017-08-01,59.475
"CA1165A",2017-08-01,44.74375
"CA1166V",2017-08-01,5.84125
"CA1201A",2017-08-01,20.883
"CA1202A",2017-08-01,23.3795
"CA1301A",2017-08-01,58.22375
"CA1302A",2017-08-01,215.92675
"CA1303A",2017-08-01,283.36
"PP2217B",2017-08-01,2.1325
"PP2218B",2017-08-01,4.16375
"PP2272B",2017-08-01,4.0575
"AC1160T",2017-09-01,5.245
"AC1201B",2017-09-01,13.1075
"AC1202B",2017-09-01,2.4325
"AC1203B",2017-09-01,1.02875
"AC3104B",2017-09-01,25.9125
"AC3192B",2017-09-01,12.54375
"AC3193B",2017-09-01,47.15375
"CA1148V",2017-09-01,104.825
"CA1160A",2017-09-01,129.125
"CA1162V",2017-09-01,3.03
"CA1163B",2017-09-01,20.97375
"CA1165A",2017-09-01,37.625
"CA1166V",2017-09-01,11.7075
"CA1167V",2017-09-01,3.5325
"CA1201A",2017-09-01,83.607
"CA1202A",2017-09-01,92.84925
"CA1301A",2017-09-01,433.56225
"CA1302A",2017-09-01,453.339
