Groupe,Libelle,Quantite,Mois,Annee,Marge_unitaire,Benefice,Proportion_benefice,Ratio,Ratio_pondere_benefice,Potentiel_croissance
G20,BG-102 Brûleur ampoules,1840,1,2020,7.789,14331.76,0.19382977,0.980050452,6839.717219,-139.2267809
G20,BG-103 Brûleur flacon,896,1,2020,7.351,6586.496,0.089079011,0.848430149,3143.352254,-561.5517457
G20,BT-202 Booster,180,1,2020,4.4,792,0.010711397,2.863451754,377.9756316,245.9756316
G20,CF-306 Confort féminin,90,1,2020,3.05,274.5,0.003712473,,,
G20,CT-103 Chitosan,900,1,2020,3.71,3339,0.045158278,0.894828673,1593.510901,-187.2890987
G20,DG-204 Digest,180,1,2020,3.37,606.6,0.008203957,1.431725877,289.4949724,87.29497236
G20,DR-104 Dépuratif & Draineur ampoule,1319,1,2020,7.071,9326.649,0.126138187,0.704118729,4451.06824,-1870.40576
G20,DR-105 Dépuratif & draineur flacon,476,1,2020,6.484,3086.384,0.041741775,1.622622661,1472.951947,565.1919466
G20,MC-218 Minceur 3 en 1,1151,1,2020,8.763,10086.213,0.136410904,0.977411913,4813.564052,-111.2419484
G20,MP-115 Minceur plus,865,1,2020,3.99,3451.35,0.046677755,2.752095297,1647.129035,1048.629035
G20,MV-215 Multivitamines,150,1,2020,3.45,517.5,0.006998924,2.386209795,246.9727138,143.4727138
G20,NP-114 Nopal,4329,1,2020,3.71,16060.59,0.217211317,1.01273551,7664.787435,96.38743516
G20,PH-216 pH Balance,180,1,2020,6.86,1234.8,0.016700042,2.863451754,589.298371,383.498371
G20,SE-319 Sérénité,60,1,2020,2.98,178.8,0.002418179,0.954483918,85.33086228,-4.069137721
G20,SPRAY ANTI-FRINGALE,0,1,2020,6.326,0,0,,,
G20,Gel minceur 150ml,20,1,2020,5.41,108.2,0.00146335,,,
G20,Barre minceur Hyperprotéinée,160,1,2020,2.55,408,0.005517993,,,
G20,BISCUITS SAVEUR BEURRE,705,1,2020,1.36,958.8,0.012967283,0.808787455,457.5795903,-108.1804097
G20,BISCUITS SAVEUR CHOCOLAT,315,1,2020,1.36,428.4,0.005793892,0.911098285,204.4504553,-19.94954474
G20,Boules de soja BBQ,40,1,2020,0.47,18.8,0.00025426,0.094503358,8.97214883,-85.96785117
G20,Boules de soja chocolat,280,1,2020,0.47,131.6,0.001779823,0.668138743,62.80504181,-31.19495819
G20,Boules de soja Oignons,120,1,2020,0.47,56.4,0.000762781,0.923694114,26.91644649,-2.223553509
G20,CEREALES CHOCOLAT,665,1,2020,1.07,711.55,0.009623352,0.970537929,339.581516,-10.30848404
G20,CEREALES FRUITS ROUGES,162,1,2020,1.05,170.1,0.002300516,1.073794408,81.17885724,5.578857235
G20,CEREALES NATURE,132,1,2020,1.29,170.28,0.00230295,1.749887183,81.26476079,34.82476079
G20,Chili con carne,56,1,2020,0.89,49.84,0.000674061,0.890851657,23.78573924,-2.914260761
G20,Colin sauce oseille et riz,0,1,2020,0.6,0,0,,,
G20,Lasagnes,132,1,2020,0.84,110.88,0.001499596,1.749887183,52.91658842,22.67658842
G20,Noix de soja BBQ,40,1,2020,0.32,12.8,0.000173113,0.477241959,6.108697076,-6.691302924
G20,Pâtes bolognaises,96,1,2020,0.79,75.84,0.001025697,1.272645224,36.19403017,7.754030175
G20,Poulet curry et son riz,90,1,2020,0.84,75.6,0.001022452,2.147588816,36.0794921,19.2794921
